nhom_chinh,so_la_ma,nhom_phu,tt,role,ten_goc,ten_sach,ma_ky_hieu,gia_tri_1000d
"VẬT CHẤT HL, DT",V,,4,MAT_HANG,Nhà bạt quân y,Nhà bạt quân y,,99000
"VẬT CHẤT HL, DT",V,,5,MAT_HANG,Nhà bạt diễn tập 96 m2,Nhà bạt diễn tập 96 m2,,19786
"VẬT CHẤT HL, DT",V,,2,MAT_HANG,Bàn ghế gấp xếp,Bàn ghế gấp xếp,,
"VẬT CHẤT HL, DT",V,,3,MAT_HANG,Đèn bão,Đèn bão,,
"VẬT CHẤT HL, DT",V,,4,MAT_HANG,P. tiện chở nước các loại,P. tiện chở nước các loại,,
"VẬT CHẤT HL, DT",V,,5,MAT_HANG,P. tiện lọc nước tại chỗ các loại,P. tiện lọc nước tại chỗ các loại,,
"VẬT CHẤT HL, DT",V,,6,MAT_HANG,P. tiện chứa nước,P. tiện chứa nước,,1285
"VẬT CHẤT HL, DT",V,,1,MAT_HANG,Can nhựa 5 lít,Can nhựa 5 lít,,140
"VẬT CHẤT HL, DT",V,,2,MAT_HANG,Can nhựa 10 lít,Can nhựa 10 lít,,250
"VẬT CHẤT HL, DT",V,,3,MAT_HANG,Can nhựa gùi 17 lít,Can nhựa gùi 17 lít,,595
"VẬT CHẤT HL, DT",V,,4,MAT_HANG,Can nhựa 20 lít,Can nhựa 20 lít,,300
"VẬT CHẤT HL, DT",V,,5,MAT_HANG,"Sitéc 1,3 m 3","Sitéc 1,3 m 3",,0
"VẬT CHẤT HL, DT",V,,6,MAT_HANG,"Sitéc 3,0 m 3","Sitéc 3,0 m 3",,0
"VẬT CHẤT HL, DT",V,,7,MAT_HANG,"Sitéc 4,0 m 3","Sitéc 4,0 m 3",,0
"VẬT CHẤT HL, DT",V,,7,MAT_HANG,Dầu thắp,Dầu thắp,,
"VẬT CHẤT HL, DT",V,,8,MAT_HANG,Ni lon dày,Ni lon dày,,
"VẬT CHẤT HL, DT",V,,9,MAT_HANG,Máy phát điện,Máy phát điện,,452166
"VẬT CHẤT HL, DT",V,,1,MAT_HANG,Công suất 3KW - 10KW,Công suất 3KW - 10KW,,452166
"VẬT CHẤT HL, DT",V,,2,MAT_HANG,Công suất 5KW,Công suất 5KW,,0
"VẬT CHẤT HL, DT",V,,3,MAT_HANG,Công suất 10KW,Công suất 10KW,,0
MÁY CÁC LOẠI,VI,,VI,NHOM_CHINH,MÁY CÁC LOẠI,MÁY CÁC LOẠI,,626298
MÁY CÁC LOẠI,VI,,1,MAT_HANG,Máy biến áp,Máy biến áp,,27800
MÁY CÁC LOẠI,VI,,1,MAT_HANG,Dưới 50 KVA,Dưới 50 KVA,,27800
MÁY CÁC LOẠI,VI,,2,MAT_HANG,Trên 50 đến 100 KVA,Trên 50 đến 100 KVA,,0
MÁY CÁC LOẠI,VI,,3,MAT_HANG,Trên 100 đến 250 KVA,Trên 100 đến 250 KVA,,0
MÁY CÁC LOẠI,VI,,4,MAT_HANG,Trên 250 đến 400 KVA,Trên 250 đến 400 KVA,,0
MÁY CÁC LOẠI,VI,,5,MAT_HANG,Trên 400 đến 1000 KVA,Trên 400 đến 1000 KVA,,0
MÁY CÁC LOẠI,VI,,6,MAT_HANG,Trên 1000 KVA,Trên 1000 KVA,,0
MÁY CÁC LOẠI,VI,,2,MAT_HANG,Máy phát điện,Máy phát điện,,572598
MÁY CÁC LOẠI,VI,,1,MAT_HANG,Dưới 20 KW (Máy phát10KVA),Dưới 20 KW (Máy phát10KVA),,546000
MÁY CÁC LOẠI,VI,,2,MAT_HANG,Từ 20 KW trở lên,Từ 20 KW trở lên,,0
MÁY CÁC LOẠI,VI,,3,MAT_HANG,Khác (máy phát 5KVA),Khác (máy phát 5KVA),,26598
MÁY CÁC LOẠI,VI,,3,MAT_HANG,Máy bơm nước,Máy bơm nước,,25900
MÁY CÁC LOẠI,VI,,1,MAT_HANG,Dưới 20 m3/giờ,Dưới 20 m3/giờ,,0
MÁY CÁC LOẠI,VI,,2,MAT_HANG,Từ 20 m3/giờ trở lên,Từ 20 m3/giờ trở lên,,0
MÁY CÁC LOẠI,VI,,3,MAT_HANG,Máy bơm nước các loại,Máy bơm nước các loại,,25900
MÁY CÁC LOẠI,VI,,4,MAT_HANG,Máy khác do ngành doanh trại quản lý,Máy khác do ngành doanh trại quản lý,,0
