commune_code,commune_full_name,province_code,province_full_name,boundary_source_url
10180,Xã Dân Hoà,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/10180_dan_hoa.geojson
10183,Xã Thường Tín,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/10183_thuong_tin.geojson
10210,Xã Hồng Vân,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/10210_hong_van.geojson
10231,Xã Thượng Phúc,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/10231_thuong_phuc.geojson
10237,Xã Chương Dương,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/10237_chuong_duong.geojson
10273,Xã Phú Xuyên,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/10273_phu_xuyen.geojson
10279,Xã Phượng Dực,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/10279_phuong_duc.geojson
10330,Xã Chuyên Mỹ,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/10330_chuyen_my.geojson
10342,Xã Đại Xuyên,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/10342_dai_xuyen.geojson
10354,Xã Vân Đình,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/10354_van_dinh.geojson
10369,Xã Ứng Thiên,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/10369_ung_thien.geojson
10402,Xã Ứng Hoà,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/10402_ung_hoa.geojson
10417,Xã Hoà Xá,01,Thành phố Hà Nội,https://raw.githubusercontent.com/thanglequoc/vietnamese-provinces-database/master/json/geojson/01_ha_noi/wards/10417_hoa_xa.geojson
